,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
555,506618,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B,10.0,INE277B01014,Agrochemicals,Equity,246.20,481.25,712.05,497.80,779.25,800.30
556,506640,GUJCMDS,GUJCHEM DISTILLERS INDIA LTD.,Active,XT,10.0,INE218N01013,Commodity Chemicals,Equity,267.50,119.00,120.75,239.50,91.80,122.70
557,506642,SADHNANIQ,SADHANA NITROCHEM LTD.,Active,X,1.0,INE888C01040,Commodity Chemicals,Equity,27.20,94.70,881.10,112.70,24.30,24.90
558,506655,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,Active,A,2.0,INE659A01023,Specialty Chemicals,Equity,311.20,373.15,339.05,407.60,479.30,494.75
559,506685,ULTRAMAR,ULTRAMARINE & PIGMENTS LTD.-$,Active,X,2.0,INE405A01021,Specialty Chemicals,Equity,163.80,392.10,249.80,179.45,238.90,254.60
560,506687,TRANSPEK,TRANSPEK INDUSTRY LTD.-$,Active,X,10.0,INE687A01016,Commodity Chemicals,Equity,493.60,"1,396.10","1,422.50","1,142.50","1,568.40","1,688.45"
561,506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.,Active,A,2.0,INE351A01035,Pharmaceuticals,Equity,256.15,331.65,190.80,159.55,261.45,280.75
562,506734,MYSORPETRO,MYSORE PETRO CHEMICALS LTD.-$,Active,X,10.0,INE741A01011,Commodity Chemicals,Equity,80.90,143.15,88.85,47.70,60.90,60.30
563,506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,Active,A,5.0,INE150B01021,Specialty Chemicals,Equity,305.05,667.90,802.20,"1,086.75","3,827.40","4,831.10"
564,506808,TUTIALKA,TUTICORIN ALKALI CHEMICALS & FERTILISERS LTD.,Active,X,10.0,INE400A01014,Commodity Chemicals,Equity,14.28,12.50,3.96,4.53,7.08,7.23
565,506820,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,Active,A,2.0,INE203A01020,Pharmaceuticals,Equity,925.05,"1,164.80","1,451.95","2,623.05","4,621.45","4,391.80"
566,506852,PACL,PUNJAB ALKALIES & CHEMICALS LTD.,Active,X,10.0,INE607A01014,Commodity Chemicals,Equity,14.40,28.75,53.75,34.35,51.60,53.55
567,506854,TANFACIND,TANFAC INDUSTRIES LTD.-$,Active,X,10.0,INE639B01015,Commodity Chemicals,Equity,69.05,130.20,227.80,114.10,185.85,231.65
568,506858,GUJPETR,GUJARAT PETROSYNTHESE LTD.,Active,XT,10.0,INE636P01011,Fibres & Plastics,Equity,28.20,22.35,19.75,7.98,12.60,14.58
569,506863,SWADEIN,SWADESHI INDUSTRIES LEASING CO.LTD.,Active,XT,10.0,INE716M01034,Containers & Packaging,Equity,4.18,3.24,1.85,0.75,0.61,0.77
570,506867,MASCH,MASTER CHEMICALS LTD.,Active,XT,10.0,INE523D01017,Textiles,Equity,NA,NA,NA,NA,NA,NA
571,506879,GUJTHEM,GUJARAT THEMIS BIOSYN LTD.,Active,X,5.0,INE942C01029,Pharmaceuticals,Equity,47.85,57.40,31.00,59.20,251.00,255.35
572,506910,JAYSYN,JAYSYNTH DYESTUFF (INDIA) LTD.,Active,X,1.0,INE703C01025,Specialty Chemicals,Equity,81.55,74.50,64.00,42.00,48.30,48.30
573,506919,MAKERSL,MAKERS LABORATORIES LTD.-$,Active,XT,10.0,INE987A01010,Pharmaceuticals,Equity,93.70,108.30,69.15,39.00,310.75,273.90
574,506935,CONTCHM,CONTINENTAL CHEMICALS LTD.,Active,XT,10.0,INE423K01015,IT Software Products,Equity,4.41,5.07,9.05,15.77,19.00,NA
575,506943,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,Active,A,2.0,INE572A01028,Pharmaceuticals,Equity,350.55,333.90,306.25,425.80,"1,017.15","1,044.10"
576,506945,IGLFXPL-B,INDO GULF INDUSTRIES LTD.,Active,P,1.0,INE684U01011,Specialty Chemicals,Equity,NA,NA,NA,NA,NA,NA
577,506947,ADVPETR-B,ADVANCE PETROCHEMICALS LTD.,Active,P,10.0,INE334N01018,Commodity Chemicals,Equity,26.00,37.60,40.95,38.95,38.00,NA
578,506975,RAJSPTR,RAJASTHAN PETRO SYNTHETICS LTD.,Active,P,10.0,INE374C01017,Textiles,Equity,1.50,3.68,5.95,5.92,4.55,3.92
579,506981,BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.,Active,X,10.0,INE472D01017,Textiles,Equity,89.65,157.00,124.95,98.40,94.30,107.40
580,507155,JAGAJITIND,JAGATJIT INDUSTRIES LTD.,Active,XT,10.0,INE574A01016,Breweries & Distilleries,Equity,66.90,88.05,45.20,26.50,35.70,41.05
581,507180,KESARENT,KESAR ENTERPRISES LTD.-$,Active,X,10.0,INE133B01019,Sugar,Equity,45.65,63.25,28.15,32.65,44.25,43.15
582,507205,TI,TILAKNAGAR INDUSTRIES LTD.-$,Active,B,10.0,INE133E01013,Breweries & Distilleries,Equity,14.90,20.30,16.02,13.30,30.00,29.60
583,507265,EMERALL,Emerald Leisures Ltd,Active,XT,10.0,INE044N01013,Other Leisure Facilities,Equity,82.95,73.50,102.00,81.25,107.00,104.00
584,507300,RAVALSUGAR,RAVALGAON SUGAR FARM LTD.,Active,XT,50.0,INE615A01017,Sugar,Equity,"4,600.00","3,204.35","2,799.20","1,810.00","1,774.95","1,710.00"
585,507315,SAKHTISUG,SAKTHI SUGARS LTD.,Active,B,10.0,INE623A01011,Sugar,Equity,35.80,23.85,13.18,8.89,10.08,10.62
586,507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.,Active,B,2.0,INE711A01022,Diversified,Equity,144.55,224.45,98.10,58.25,71.15,68.95
587,507435,KHODAY,KHODAY INDIA LTD.-$,Active,XT,10.0,INE687B01014,Breweries & Distilleries,Equity,60.00,78.90,72.65,68.00,63.40,65.70
588,507438,IFBAGRO,IFB AGRO INDUSTRIES LTD.,Active,B,10.0,INE076C01018,Breweries & Distilleries,Equity,377.00,855.25,642.80,392.95,478.90,484.20
589,507442,DHARSUGAR,DHARANI SUGARS & CHEMICALS LTD.,Active,T,10.0,INE988C01014,Sugar,Equity,33.20,29.70,11.89,7.19,5.99,5.75
590,507450,THIRUSUGAR,THIRU AROORAN SUGARS LTD.,Active,Z,10.0,INE409A01015,Sugar,Equity,57.20,59.45,25.70,2.84,4.12,4.05
591,507474,KFBL,KOTHARI FERMENTATION & BIOCHEM LTD.,Active,X,10.0,INE991B01010,Other Food Products,Equity,40.00,51.10,60.60,49.95,45.60,57.10
592,507486,CAPRO,CAPROLACTAM CHEMICALS LTD.,Active,XT,10.0,INE470N01010,Commodity Chemicals,Equity,12.16,14.40,9.50,14.00,19.30,19.45
593,507488,GMBREW,G.M.BREWERIES LTD.,Active,Z,10.0,INE075D01018,Breweries & Distilleries,Equity,513.60,944.80,760.45,450.85,415.30,445.85
594,507490,RANASUG,RANA SUGARS LTD.,Active,B,10.0,INE625B01014,Sugar,Equity,10.93,6.90,3.47,3.15,7.15,7.01
595,507498,PICCASUG,PICCADILY SUGAR & ALLIED INDUSTRIES LTD.,Active,XT,10.0,INE544C01023,Sugar,Equity,10.16,8.19,6.03,5.21,5.07,5.30
596,507508,RIGASUG,RIGA SUGAR COMPANY LTD.-$,Active,XT,10.0,INE909C01010,Sugar,Equity,19.95,14.00,7.54,3.71,4.25,5.00
597,507514,SDBL,SOM DISTILLERIES & BREWERIES LTD.,Active,B,5.0,INE480C01020,Breweries & Distilleries,Equity,126.00,180.75,157.25,110.40,32.25,32.70
598,507515,CJGEL,C.J.GELATINE PRODUCTS LTD.,Active,XT,10.0,INE557D01015,Specialty Chemicals,Equity,7.88,7.41,9.90,7.50,10.25,13.71
599,507522,MOUNTSHIQ,MOUNT SHIVALIK INDUSTRIES LTD.-$,Active,Z,10.0,INE410C01019,Breweries & Distilleries,Equity,18.00,5.00,4.40,4.25,4.39,4.38
600,507525,AMRITCORP,AMRIT CORP.LTD.-$,Active,X,10.0,INE866E01026,Packaged Foods,Equity,449.00,"1,221.00",819.00,630.00,706.50,715.20
601,507526,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Active,B,10.0,INE073G01016,Breweries & Distilleries,Equity,94.15,260.90,290.95,184.05,320.80,321.75
