,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020
1763,526977,6.80,7.12,7.11,8.58,8.52
1764,526981,17.75,17.25,19.90,20.60,76.40
1765,526983,11.97,11.38,10.82,7.59,5.37
1766,526987,1.36,6.41,3.47,1.75,7.96
1767,527001,60.05,94.35,31.15,26.60,138.35
1768,527005,10.00,11.79,12.25,12.00,11.40
1769,530001,347.00,744.05,543.50,418.55,345.85
1770,530005,116.65,182.60,96.10,71.40,171.40
1771,530007,113.10,147.05,103.80,74.85,77.00
1772,530011,44.15,80.20,41.05,30.65,55.80
1773,530017,22.00,25.15,16.00,11.25,10.74
1774,530019,630.70,788.05,709.65,536.75,938.10
1775,530023,355.30,283.30,158.50,116.15,139.20
1776,530025,11.05,10.60,12.95,12.02,17.00
1777,530035,14.45,8.13,7.10,7.29,9.20
1778,530037,1.81,1.78,1.95,1.86,2.00
1779,530043,90.00,127.10,131.85,60.95,88.60
1780,530045,2.20,7.00,4.37,3.28,10.85
1781,530047,62.95,425.85,82.50,9.10,12.95
1782,530053,13.89,26.25,15.40,14.00,6.20
1783,530055,5.69,5.55,4.99,5.23,4.47
1784,530057,140.15,64.80,24.25,13.50,119.60
1785,530063,3.43,2.75,3.00,3.55,2.64
1786,530065,9.12,7.38,3.75,5.78,3.47
1787,530067,163.10,651.25,305.00,249.80,289.40
1788,530073,200.00,190.35,111.60,83.00,115.90
1789,530075,181.95,230.65,194.80,159.65,133.15
1790,530077,88.50,177.45,188.55,90.65,75.65
1791,530079,59.85,103.20,46.10,43.65,63.85
1792,530095,7.39,15.00,30.60,57.95,25.00
1793,530109,8.09,9.80,13.25,32.25,8.60
1794,530111,35.95,40.15,28.05,24.90,17.15
1795,530117,506.05,499.20,366.55,480.40,554.75
1796,530119,28.50,27.50,33.50,22.25,19.15
1797,530125,41.15,96.40,54.00,97.90,130.00
1798,530127,15.50,37.50,27.00,14.65,14.19
1799,530129,340.45,911.00,385.65,223.15,399.80
1800,530131,18.30,29.40,13.99,11.42,25.45
1801,530133,18.05,51.85,26.10,19.35,26.00
1802,530135,57.05,161.85,123.80,27.40,91.15
1803,530139,7.20,3.72,6.58,6.26,4.18
1804,530141,6.59,NA,6.25,3.74,3.00
1805,530145,72.95,169.80,77.30,21.35,10.85
1806,530151,54.55,44.15,43.90,21.35,42.50
1807,530161,30.40,7.26,5.34,5.08,5.60
1808,530163,69.85,105.65,70.35,41.60,48.50
1809,530167,7.00,11.50,3.57,2.60,2.65
1810,530169,11.06,14.96,13.00,8.00,7.00
1811,530171,6.62,8.03,9.83,3.20,3.80
1812,530173,6.65,3.75,5.69,6.78,3.83
1813,530175,74.85,53.85,31.65,20.40,30.50
1814,530177,5.02,4.45,11.36,12.60,5.67
1815,530179,3.31,4.37,4.59,4.55,4.52
1816,530185,3.84,6.80,3.48,1.09,4.10
1817,530187,1.60,1.59,1.57,1.07,0.92
1818,530191,2.89,3.09,0.98,0.43,1.11
1819,530197,10.94,9.45,8.83,9.85,6.56
1820,530199,560.45,583.05,331.50,319.55,350.00
1821,530201,115.05,23.15,18.20,6.87,14.35
1822,530207,50.00,67.10,38.10,25.45,24.00
1823,530213,23.30,20.95,11.51,9.87,11.57
1824,530215,13.50,14.25,20.00,23.45,28.35
1825,530219,6.71,67.65,57.00,46.90,35.15
1826,530231,11.00,11.61,14.00,14.00,13.96
1827,530233,35.95,79.85,59.50,47.60,83.40
1828,530235,30.55,42.50,29.30,10.35,7.77
1829,530239,173.75,203.30,227.35,306.75,86.65
1830,530245,20.70,45.00,50.00,38.00,43.55
1831,530249,4.99,8.55,10.00,3.96,7.98
1832,530253,18.80,14.00,21.00,13.35,12.60
1833,530259,7.02,22.80,13.10,7.25,8.50
1834,530263,7.09,5.11,1.72,0.48,1.29
1835,530265,29.60,36.15,24.10,12.80,22.70
1836,530267,12.12,14.30,14.77,16.60,12.98
1837,530281,1.55,0.94,0.64,1.39,1.95
1838,530289,14.60,16.00,18.00,18.60,12.63
1839,530291,3.10,6.87,12.12,12.55,9.80
1840,530299,164.85,219.75,100.45,62.90,76.40
1841,530305,9.18,20.40,11.49,7.48,13.92
1842,530307,87.00,177.25,75.75,44.95,89.75
1843,530309,17.45,22.50,18.55,18.80,23.25
1844,530313,16.74,32.35,39.90,19.95,60.00
1845,530315,66.05,100.65,67.65,49.10,62.90
1846,530317,41.20,40.75,23.50,15.95,42.55
1847,530331,531.45,410.85,217.40,98.20,216.85
1848,530341,43.25,113.00,83.65,103.90,160.45
1849,530343,38.70,74.80,30.45,25.10,38.35
1850,530355,114.45,266.25,80.40,99.85,87.30
1851,530357,2.27,3.48,4.64,4.47,3.96
1852,530361,NA,NA,NA,NA,NA
1853,530363,25.20,27.10,13.00,13.03,17.95
1854,530365,146.60,313.55,180.60,131.80,204.55
1855,530367,106.95,172.50,207.40,95.75,112.20
1856,530369,46.40,52.50,31.10,17.30,19.50
1857,530377,12.98,26.90,7.98,4.25,7.92
1858,530393,13.40,8.95,8.40,10.75,9.81
1859,530401,30.80,36.00,27.75,19.10,21.00
1860,530405,5.05,6.01,6.00,3.83,8.95
1861,530407,9.65,9.29,8.74,7.59,4.27
1862,530419,16.60,45.65,19.60,17.90,24.95
1863,530421,6.65,7.30,5.73,3.82,5.31
1864,530427,31.75,30.85,19.85,13.85,15.01
1865,530429,11.27,13.80,7.58,3.70,7.12
1866,530431,85.05,125.95,116.65,43.10,41.30
1867,530433,39.10,79.80,41.60,17.85,40.10
1868,530439,1.18,0.80,0.40,0.38,1.73
1869,530443,3.63,2.42,3.75,4.12,4.66
1870,530445,1.49,1.20,1.21,1.38,1.11
1871,530449,23.20,29.00,21.85,20.20,19.30
1872,530457,5.45,4.00,3.61,3.00,1.83
1873,530459,32.70,39.25,29.05,16.75,16.00
1874,530461,9.05,23.40,9.20,5.10,6.43
1875,530469,1.18,1.26,1.17,3.96,4.10
1876,530475,70.00,49.90,39.25,20.20,34.30
1877,530477,110.95,115.60,78.30,92.15,188.35
1878,530495,4.30,7.73,20.75,24.60,21.00
1879,530499,285.30,514.80,329.80,278.65,338.45
1880,530517,401.85,675.60,734.30,615.50,880.60
1881,530521,75.60,192.90,76.60,62.85,44.00
1882,530525,4.70,5.00,4.70,1.30,1.34
1883,530533,58.30,63.10,37.00,46.95,69.00
1884,530537,NA,17.00,17.50,16.65,15.85
1885,530543,9.92,15.63,12.89,8.80,7.29
1886,530545,175.00,420.80,166.15,87.15,83.75
1887,530549,691.40,617.25,384.05,281.75,445.50
1888,530555,3.26,17.27,12.79,8.47,10.67
1889,530557,NA,2.42,0.45,0.19,0.34
1890,530565,1.53,3.33,3.28,1.78,1.85
1891,530571,5.59,2.50,2.49,2.20,1.64
1892,530577,28.05,28.70,26.30,38.65,18.00
1893,530579,3.75,10.96,4.62,2.35,2.75
1894,530581,4.47,4.15,4.95,3.60,3.90
1895,530585,71.40,211.50,70.50,70.05,158.40
1896,530589,207.20,233.05,103.50,59.05,83.70
1897,530595,9.31,7.54,6.00,6.40,8.80
1898,530601,2.03,6.87,9.99,2.14,2.06
1899,530609,50.30,47.75,12.94,5.41,6.33
1900,530611,1.21,0.72,0.35,0.30,0.52
1901,530615,10.87,10.22,12.00,12.49,9.49
1902,530617,39.70,80.30,39.00,18.15,23.00
1903,530621,44.85,75.95,43.75,19.55,19.10
1904,530627,103.90,170.65,199.35,139.35,113.75
1905,530643,45.00,50.30,44.90,31.40,40.15
1906,530655,87.20,91.75,67.00,54.60,77.15
1907,530663,6.66,5.01,2.76,1.68,1.52
