,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
2692,532872,176.00,180.15,173.55,163.85,181.70,193.90,198.50
2693,532873,2.87,6.31,4.66,4.28,5.41,7.37,6.83
2694,532874,0.32,0.37,0.30,0.30,0.30,0.56,0.73
2695,532875,18.45,23.75,22.35,21.50,25.20,37.35,44.95
2696,532878,25.00,28.15,30.60,39.50,35.35,36.10,38.15
2697,532879,35.40,37.05,47.95,42.00,40.10,50.95,46.45
2698,532880,83.75,71.10,67.20,66.40,69.10,82.50,82.50
2699,532884,51.10,47.20,46.25,46.65,88.35,97.80,98.45
2700,532885,17.95,17.70,14.35,10.98,12.71,13.85,13.85
2701,532886,1.08,1.15,2.38,2.25,2.36,2.32,2.24
2702,532887,0.59,0.71,1.50,1.14,0.96,1.25,1.35
2703,532888,242.75,256.50,292.10,284.05,303.75,281.95,285.85
2704,532889,419.50,548.45,653.95,737.10,806.40,873.90,955.75
2705,532890,42.40,50.70,45.75,40.90,40.55,53.25,63.45
2706,532891,40.80,48.10,42.95,43.00,74.30,84.35,88.55
2707,532892,681.20,680.40,650.90,563.55,609.60,601.05,657.65
2708,532893,18.50,20.90,20.50,20.40,20.50,23.75,25.50
2709,532894,2.85,3.22,2.81,2.79,3.16,4.39,5.20
2710,532895,4.85,5.28,6.95,7.08,5.99,6.20,6.59
2711,532896,6.46,4.90,4.44,4.34,5.18,4.66,4.85
2712,532898,178.60,178.90,162.60,171.00,192.50,189.80,203.35
2713,532899,604.15,577.65,532.10,507.05,490.95,519.80,558.35
2714,532900,330.55,428.50,412.05,388.90,381.45,709.75,704.35
2715,532904,12.50,10.00,8.16,7.00,9.25,12.00,14.10
2716,532906,51.00,69.95,66.50,67.15,86.30,115.55,113.95
2717,532907,4.22,3.89,4.00,3.51,3.39,4.15,4.49
2718,532911,15.30,13.80,11.51,9.88,9.80,9.91,16.11
2719,532914,2.35,2.78,2.09,1.96,1.95,2.56,2.90
2720,532915,38.35,38.15,44.85,53.15,62.55,69.60,65.90
2721,532916,12.15,15.96,13.60,13.25,14.72,15.53,19.00
2722,532918,9.08,11.18,11.00,10.73,11.65,14.45,20.57
2723,532921,314.95,355.75,340.90,359.70,412.00,483.55,508.25
2724,532922,76.10,80.10,58.85,55.80,69.95,68.55,70.05
2725,532923,264.75,254.60,249.75,225.00,256.80,284.10,307.55
2726,532924,137.50,174.45,159.25,168.90,212.10,244.25,269.90
2727,532925,0.94,2.45,1.79,1.43,1.41,1.68,1.95
2728,532926,123.35,142.15,146.75,135.70,140.85,146.35,149.40
2729,532927,479.80,703.50,701.60,694.15,725.50,883.65,923.05
2730,532928,10.11,10.09,9.17,8.91,10.97,20.44,19.10
2731,532929,140.35,174.35,162.85,179.25,218.40,248.95,267.90
2732,532930,39.85,40.95,34.25,32.00,37.40,46.80,45.95
2733,532931,1.29,1.39,1.42,1.71,1.68,2.55,2.96
2734,532932,34.75,39.90,39.75,38.15,43.80,57.80,56.45
2735,532933,11.81,14.28,12.40,12.61,12.49,15.05,15.45
2736,532934,160.50,218.35,237.00,211.45,272.55,261.05,268.00
2737,532935,60.00,76.15,77.15,78.35,86.00,103.25,103.85
2738,532937,49.10,48.10,42.15,39.90,42.25,55.35,55.35
2739,532939,3.28,3.42,2.77,3.52,3.12,3.39,3.52
2740,532940,95.60,111.45,105.85,102.75,118.75,132.95,150.15
2741,532941,32.50,40.85,38.35,40.10,41.95,46.00,50.30
2742,532942,209.35,253.05,256.40,250.10,285.25,324.90,340.40
2743,532944,29.00,37.25,44.65,47.70,59.35,68.05,61.85
2744,532945,3.54,4.56,3.69,3.70,3.48,4.89,5.37
2745,532946,15.85,18.50,18.50,19.55,20.20,31.15,29.90
2746,532947,120.75,119.15,113.05,113.50,118.70,119.70,114.95
2747,532951,23.00,24.75,32.75,36.80,43.10,54.00,49.55
2748,532952,60.60,66.95,62.00,63.50,69.45,89.45,97.00
2749,532953,162.90,167.60,170.60,169.85,184.95,186.25,216.05
2750,532955,100.20,106.20,99.20,102.85,120.75,133.80,142.10
2751,532957,10.50,11.17,11.72,9.97,17.55,19.09,21.75
2752,532959,0.67,0.72,0.63,0.58,0.57,0.77,0.92
2753,532960,114.00,197.20,249.80,196.65,282.50,321.65,388.40
2754,532966,39.00,44.15,47.40,40.85,46.45,58.20,58.90
2755,532967,493.05,543.70,506.95,444.90,511.65,537.95,510.95
2756,532972,3.98,4.29,3.70,2.67,2.89,4.22,5.88
2757,532974,34.70,37.30,39.40,42.30,43.60,44.95,49.20
2758,532975,2.60,2.35,2.38,1.71,1.38,1.97,2.71
2759,532976,18.40,19.40,15.95,14.60,19.64,19.50,20.05
2760,532977,"3,004.40","2,971.35","2,879.50","2,886.45","3,172.65","3,447.20","3,616.95"
2761,532978,"6,203.50","6,187.25","5,851.00","5,573.40","8,755.20","8,904.45","8,994.10"
2762,532980,15.15,17.05,11.65,12.35,13.80,17.84,18.90
2763,532983,326.90,332.95,398.55,352.35,363.00,369.10,372.40
2764,532985,NA,NA,NA,NA,NA,NA,NA
2765,532986,35.50,33.65,36.50,46.25,50.90,48.00,45.80
2766,532987,520.45,595.45,556.80,644.65,686.85,779.15,784.65
2767,532988,187.90,204.35,190.00,193.25,211.80,276.25,271.20
2768,532989,10.24,10.75,13.70,31.29,78.25,175.65,160.85
2769,532990,0.52,0.60,0.53,0.57,0.48,0.67,0.86
2770,532992,7.31,8.00,7.26,6.90,6.56,6.60,6.30
2771,532993,3.48,2.87,3.85,3.72,3.05,4.15,5.39
