,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
101,500199,IGPL,I G PETROCHEMICALS LTD.,Active,B,10.0,INE204A01010,Commodity Chemicals,Equity,157.75,221.90,315.55,290.80,445.35,423.10,396.35
102,500201,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A,10.0,INE560A01015,Commodity Chemicals,Equity,269.60,288.80,278.35,274.75,294.75,308.80,396.10
103,500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,X,10.0,INE333C01013,Finance (including NBFCs),Equity,3.61,4.19,3.57,6.09,7.10,8.75,10.01
104,500206,MARGOFIN,Margo Finance Limited,Active,X,10.0,INE680B01019,Finance (including NBFCs),Equity,6.93,6.55,6.70,8.55,9.55,8.50,7.23
105,500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B,10.0,INE156A01020,Textiles,Equity,14.70,19.49,23.40,21.30,24.35,41.90,40.70
106,500209,INFY,INFOSYS LTD.,Active,A,5.0,INE009A01021,IT Consulting & Software,Equity,966.25,928.50,"1,008.00","1,060.60","1,100.55","1,255.85","1,376.10"
107,500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A,10.0,INE177A01018,Industrial Machinery,Equity,607.80,622.15,590.00,571.75,648.35,652.40,740.50
108,500211,INSILCO,INSILCO LTD.,Active,X,10.0,INE901A01011,Other Industrial Goods,Equity,8.23,9.07,8.15,7.96,8.03,10.34,10.32
109,500212,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,XT,10.0,INE898B01017,Finance (including NBFCs),Equity,21.20,22.55,31.80,30.60,28.05,23.35,25.60
110,500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,X,10.0,INE262B01016,Travel Support Services,Equity,45.40,55.15,51.50,48.15,52.65,60.75,62.50
111,500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A,10.0,INE570A01014,Industrial Machinery,Equity,662.65,736.25,725.20,745.40,844.55,906.60,"1,036.15"
112,500215,ATFL,AGRO TECH FOODS LTD.,Active,A,10.0,INE209A01019,Other Agricultural Products,Equity,593.90,704.45,689.70,716.70,719.85,899.30,841.05
113,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A,2.0,INE175A01038,Plastic Products,Equity,10.03,11.28,14.06,15.11,19.25,19.05,23.25
114,500220,JASCH,JASCH INDUSTRIES LTD.,Active,X,10.0,INE711C01010,Textiles,Equity,22.85,27.25,26.00,32.25,34.00,45.70,47.00
115,500223,JCTLTD,JCT LTD.,Active,X,2.5,INE945A01026,Textiles,Equity,1.22,0.97,0.91,0.80,0.76,0.92,0.85
116,500227,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A,10.0,INE197D01010,Containers & Packaging,Equity,373.75,469.25,430.30,455.30,468.75,456.85,456.60
117,500228,JSWSTEEL,JSW STEEL LTD.,Active,A,1.0,INE019A01038,Iron & Steel/Interm.Products,Equity,220.20,269.90,277.70,308.90,350.50,387.30,399.15
118,500231,UMANGDAIR,UMANG DAIRIES LTD.,Active,B,5.0,INE864B01027,Packaged Foods,Equity,41.20,45.60,42.45,43.65,46.35,64.05,66.55
119,500233,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A,1.0,INE217B01036,Furniture-Furnishing-Paints,Equity,405.60,436.20,554.00,567.50,647.95,703.20,750.55
120,500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B,10.0,INE437B01014,Cement & Cement Products,Equity,138.15,158.60,145.20,162.15,170.00,192.90,190.25
121,500235,KSL,KALYANI STEELS LTD.,Active,A,5.0,INE907A01026,Iron & Steel/Interm.Products,Equity,215.55,213.55,220.25,209.35,237.65,280.30,282.75
122,500236,KANELIND,Kanel Industries Limited,Active,X,10.0,INE252C01015,Comm.Trading  & Distribution,Equity,0.35,0.35,0.36,0.29,0.32,0.46,0.58
123,500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A,10.0,INE716A01013,Consumer Electronics,Equity,"2,069.95","2,122.20","2,204.85","2,119.55","2,181.40","2,626.45","2,454.85"
124,500239,KGDENIM,KG DENIM LTD.,Active,X,10.0,INE104A01012,Textiles,Equity,24.80,24.70,23.30,20.45,21.50,27.20,27.90
125,500240,KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.0,INE266B01017,2/3 Wheelers,Equity,17.60,23.55,21.05,20.85,22.55,29.15,29.00
126,500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B,2.0,INE732A01036,Industrial Machinery,Equity,131.35,126.70,116.25,102.95,138.85,128.85,137.05
127,500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B,10.0,INE250A01039,Industrial Machinery,Equity,618.60,626.15,655.50,602.05,695.05,807.25,787.00
128,500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,B,5.0,INE884B01025,Iron & Steel/Interm.Products,Equity,75.85,86.60,89.90,93.30,114.85,140.30,142.05
129,500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,X,10.0,INE601C01013,Industrial Machinery,Equity,35.00,21.35,31.45,29.25,25.00,29.55,28.50
130,500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A,5.0,INE237A01028,Banks,Equity,"1,367.45","1,402.15","1,268.15","1,547.60","1,901.65","1,995.40","1,938.85"
131,500248,KRIFILIND,Krishna Filament Industries Ltd,Active,XT,10.0,INE073A01019,Plastic Products,Equity,3.15,2.99,3.27,3.11,3.26,3.41,3.75
132,500249,KSB,KSB Ltd,Active,A,10.0,INE999A01015,Industrial Machinery,Equity,508.40,522.70,477.85,454.40,568.30,646.80,626.15
133,500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A,10.0,INE337A01034,Auto Parts & Equipment,Equity,224.40,248.45,225.00,249.50,260.30,304.45,297.00
134,500251,TRENT,TRENT LTD.,Active,A,1.0,INE849A01020,Specialty Retail,Equity,556.85,639.10,671.30,659.55,723.40,687.90,694.65
135,500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A,10.0,INE269B01029,Industrial Machinery,Equity,"2,993.10","3,248.75","3,515.70","4,008.75","4,258.95","4,601.75","5,006.65"
136,500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A,2.0,INE115A01026,Housing Finance,Equity,262.40,299.30,275.70,282.95,330.00,361.20,430.60
137,500257,LUPIN,LUPIN LTD.,Active,A,2.0,INE326A01037,Pharmaceuticals,Equity,926.75,927.55,"1,007.10",908.40,891.80,976.70,"1,075.60"
138,500259,LYKALABS,LYKA LABS LTD.,Active,B,10.0,INE933A01014,Pharmaceuticals,Equity,18.05,20.10,18.70,17.40,20.80,31.25,27.55
139,500260,RAMCOCEM,The Ramco Cements Limited,Active,A,1.0,INE331A01037,Cement & Cement Products,Equity,691.60,691.15,753.05,796.35,889.95,796.15,861.70
140,500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,X,10.0,INE270B01027,Textiles,Equity,89.50,91.30,78.00,81.35,88.45,116.35,119.00
141,500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A,5.0,INE271B01025,Construction & Engineering,Equity,196.30,229.80,220.95,221.10,259.30,319.95,319.80
142,500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,A,10.0,INE288A01013,Investment Companies,Equity,"3,001.95","3,042.65","2,851.25","2,789.25","3,831.95","3,809.70","3,691.60"
143,500267,MAJESAUT,MAJESTIC AUTO LTD.-$,Active,X,10.0,INE201B01022,2/3 Wheelers,Equity,78.75,95.35,93.00,92.40,101.70,122.30,116.55
144,500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B,5.0,INE201A01024,Petrochemicals,Equity,19.70,24.10,34.65,31.45,35.00,35.95,35.55
145,500271,MFSL,Max Financial Services Ltd,Active,A,2.0,INE180A01020,Life Insurance,Equity,557.75,587.50,612.35,590.65,648.80,673.35,714.15
146,500274,MESPHAR-B,MESCO PHARMACEUTICALS LTD.,Active,P,10.0,INE839X01015,Pharmaceuticals,Equity,7.45,7.45,NA,7.40,NA,NA,7.70
147,500277,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,XT,10.0,INE401C01018,Textiles,Equity,0.82,0.86,0.85,0.86,0.90,1.04,1.10
